cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
82258,2147494660,2147494664,0,-1,0
82260,2147494668,2147494628,1,0,1
82261,2147494668,2147494628,2,1,1
82271,2147494656,2147494660,1,0,0
82272,2147494660,2147494664,0,-1,0
82274,2147494668,2147494628,1,0,1
82275,2147494668,2147494628,2,1,1
82285,2147494656,2147494660,1,0,0
82286,2147494660,2147494664,0,-1,0
82288,2147494668,2147494628,1,0,1
82289,2147494668,2147494628,2,1,1
82299,2147494656,2147494660,1,0,0
82300,2147494660,2147494664,0,-1,0
82302,2147494668,2147494628,1,0,1
82303,2147494668,2147494628,2,1,1
82313,2147494656,2147494660,1,0,0
82314,2147494660,2147494664,0,-1,0
82316,2147494668,2147494628,1,0,1
82317,2147494668,2147494628,2,1,1
82327,2147494656,2147494660,1,0,0
82328,2147494660,2147494664,0,-1,0
82330,2147494668,2147494628,1,0,1
82331,2147494668,2147494628,2,1,1
82341,2147494656,2147494660,1,0,0
82342,2147494660,2147494664,0,-1,0
82344,2147494668,2147494628,1,0,1
82345,2147494668,2147494628,2,1,1
82355,2147494656,2147494660,1,0,0
82356,2147494660,2147494664,0,-1,0
82358,2147494668,2147494628,1,0,1
82359,2147494668,2147494628,2,1,1
82369,2147494656,2147494660,1,0,0
82370,2147494660,2147494664,0,-1,0
82372,2147494668,2147494628,1,0,1
82373,2147494668,2147494628,2,1,1
82383,2147494656,2147494660,1,0,0
82384,2147494660,2147494664,0,-1,0
82386,2147494668,2147494628,1,0,1
82387,2147494668,2147494628,2,1,1
82397,2147494656,2147494660,1,0,0
82398,2147494660,2147494664,0,-1,0
82400,2147494668,2147494628,1,0,1
82401,2147494668,2147494628,2,1,1
82411,2147494656,2147494660,1,0,0
82412,2147494660,2147494664,0,-1,0
82414,2147494668,2147494628,1,0,1
82415,2147494668,2147494628,2,1,1
82425,2147494656,2147494660,1,0,0
82426,2147494660,2147494664,0,-1,0
82428,2147494668,2147494628,1,0,1
82429,2147494668,2147494628,2,1,1
82439,2147494656,2147494660,1,0,0
82440,2147494660,2147494664,0,-1,0
82442,2147494668,2147494628,1,0,1
82443,2147494668,2147494628,2,1,1
82453,2147494656,2147494660,1,0,0
82454,2147494660,2147494664,0,-1,0
82456,2147494668,2147494628,1,0,1
82457,2147494668,2147494628,2,1,1
82467,2147494656,2147494660,1,0,0
82468,2147494660,2147494664,0,-1,0
